id,name,provId,geoId,observersTotal,observersETWOA,observersACSFO,observersAABRAR,observersTEFA,observersTHRA,observersFEFA
210102,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,16,0,3,0,10,0,3
210103,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,17,0,4,0,10,0,3
210104,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,17,0,4,0,10,0,3
210105,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,17,0,4,0,10,0,3
210106,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,15,0,2,0,10,0,3
210107,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,16,0,3,0,10,0,3
210108,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,17,0,4,0,10,0,3
210109,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,15,0,2,0,10,0,3
210110,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,16,0,4,0,10,0,2
2201,Sar-e-pul,22,2201,37,0,0,0,26,0,11
2202,Sayad,22,2202,7,0,0,0,5,0,2
2204,Sozma Qala,22,2204,3,0,0,0,2,0,1
2205,Sancharak,22,2205,5,0,0,0,3,0,2
2206,Gosfandi,22,2206,6,0,0,0,2,0,4
2207,Balkhab,22,2207,4,0,0,0,2,0,2
2301,Ferozkoh,23,2301,113,17,17,0,61,0,18
2302,Dolayna,23,2302,7,3,0,0,4,0,0
2303,Dawlatyar,23,2303,35,18,6,0,8,0,3
2304,Charsada,23,2304,1,0,0,0,0,0,1
2305,Pasaband,23,2305,1,0,0,0,1,0,0
2306,Shahrak,23,2306,2,0,0,0,0,0,2
2307,Lal Wa Sarjangal,23,2307,48,22,12,0,11,0,3
2308,Taywarah,23,2308,2,0,0,0,2,0,0
2309,Tolak,23,2309,0,0,0,0,0,0,0
2310,Saghar,23,2310,3,0,0,0,3,0,0
2401,Neli,24,2401,48,18,12,0,10,0,8
2402,Shahristan,24,2402,30,18,0,0,9,0,3
2403,Gizab,24,2409,4,0,0,0,3,0,1
2404,Ashtarlay,24,2403,12,0,0,0,10,0,2
2405,Khader,24,2404,2,0,0,0,0,0,2
2406,Keti,24,2405,12,0,0,0,10,0,2
2407,Meramor,24,2406,36,20,0,0,12,0,4
2408,Sang-e-takht,24,2407,8,0,0,0,6,0,2
2409,Kajran,24,2408,2,0,0,0,0,0,2
2501,Tirenkot,25,2501,39,0,7,0,18,0,14
2502,Dehrawud,25,2502,5,0,0,0,1,0,4
2503,Chora,25,2503,11,0,0,0,11,0,0
2506,Chinarto,25,2507,2,0,0,0,0,0,2
2507,Gezab,25,2506,4,0,0,0,0,0,4
2601,Qalat,26,2601,38,0,0,0,22,0,16
2602,Tarnak Wa Jaldak,26,2602,4,0,0,0,2,0,2
2603,Shenkay,26,2603,3,0,0,0,3,0,0
2604,Mezan,26,2604,3,0,0,0,3,0,0
2605,Arghandab,26,2605,1,0,1,0,0,0,0
2606,Shahjoy,26,2606,5,0,0,0,4,0,1
2608,Atghar,26,2608,3,0,0,0,3,0,0
2609,Naw Bahar,26,2609,3,0,0,0,3,0,0
2610,Shumulzay,26,2610,0,0,0,0,0,0,0
2702,Arghandab,27,2702,38,22,1,0,13,0,2
2703,Daman,27,2703,58,40,5,0,11,0,2
2704,Panjwayi,27,2704,21,8,5,0,6,0,2
2705,Zhiray,27,2705,5,0,3,0,0,0,2
2706,Shah Wale Kot,27,2706,1,0,0,0,0,0,1
2707,Khakrez,27,2707,0,0,0,0,0,0,0
2708,Arghistan,27,2708,2,0,0,0,0,0,2
2709,Ghorak,27,2709,0,0,0,0,0,0,0
2710,Maywand,27,2710,0,0,0,0,0,0,0
2711,Spen Boldak,27,2711,23,20,0,0,0,0,3
2713,Miyanshen,27,2713,0,0,0,0,0,0,0
2714,Shorabak,27,2714,0,0,0,0,0,0,0
2716,Reg,27,2716,0,0,0,0,0,0,0
2717,Dand,27,2717,67,60,4,0,0,0,3
2718,Takhtapul,27,2718,2,0,0,0,0,0,2
270101,Provincial Capital Of Kandahar (Kandahar),27,2701,6,0,0,0,3,0,3
270102,Provincial Capital Of Kandahar (Kandahar),27,2701,13,0,7,0,3,0,3
270103,Provincial Capital Of Kandahar (Kandahar),27,2701,10,0,4,0,3,0,3
270104,Provincial Capital Of Kandahar (Kandahar),27,2701,11,0,6,0,3,0,2
270105,Provincial Capital Of Kandahar (Kandahar),27,2701,6,0,1,0,3,0,2
270106,Provincial Capital Of Kandahar (Kandahar),27,2701,7,0,2,0,3,0,2
270107,Provincial Capital Of Kandahar (Kandahar),27,2701,8,0,3,0,3,0,2
270108,Provincial Capital Of Kandahar (Kandahar),27,2701,8,0,3,0,3,0,2
270109,Provincial Capital Of Kandahar (Kandahar),27,2701,8,0,4,0,2,0,2
270110,Provincial Capital Of Kandahar (Kandahar),27,2701,8,0,4,0,2,0,2
270113,Provincial Capital Of Kandahar (Kandahar),27,2701,4,0,0,0,2,0,2
2801,Shiberghan,28,2801,122,26,12,0,61,0,23
2802,Khwaja Dukoh,28,2802,17,12,0,0,4,0,1
2803,Khanaqa,28,2803,0,0,0,0,0,0,0
2804,Mingajek,28,2804,0,0,0,0,0,0,0
2805,Qoshtepa,28,2805,0,0,0,0,0,0,0
2806,Khamyab,28,2806,0,0,0,0,0,0,0
2807,Aqcha,28,2807,23,10,7,0,5,0,1
2808,Fayzabad,28,2808,12,12,0,0,0,0,0
2810,Qarqen,28,2810,0,0,0,0,0,0,0
2901,Maymana,29,2901,50,0,0,0,37,0,13
2902,Pashton Kot,29,2902,6,0,0,0,5,0,1
2903,Khwaja Sabzposh,29,2903,1,0,0,0,0,0,1
2904,Almar,29,2904,1,0,0,0,0,0,1
2905,Bilcheragh,29,2905,0,0,0,0,0,0,0
2906,Shiren Tagab,29,2906,2,0,0,0,1,0,1
2907,Qaysar,29,2907,1,0,0,0,0,0,1
2908,Garzewan,29,2908,0,0,0,0,0,0,0
2909,Dawlatabad,29,2909,1,0,0,0,1,0,0
2911,Qaramqol,29,2911,1,0,0,0,0,0,1
2912,Qurghan,29,2912,1,0,0,0,0,0,1
2913,Andkhoy,29,2913,5,0,0,0,1,0,4
2914,Khan-e-char Bagh,29,2914,2,0,0,0,0,0,2
3001,Lashkargah,30,3001,58,15,0,0,28,0,15
3002,Nad-e-ali,30,3002,14,12,0,0,2,0,0
3003,Nawa-e-barakzaiy,30,3003,13,11,0,0,0,0,2
3004,Nahr-e-saraj,30,3004,29,10,0,0,18,0,1
3005,Washer,30,3005,0,0,0,0,0,0,0
3006,Garmser,30,3006,4,0,0,0,3,0,1
3008,Sangen,30,3008,0,0,0,0,0,0,0
3010,Kajaki,30,3010,2,0,0,0,2,0,0
3014,Marja,30,3014,5,0,0,0,5,0,0
3015,Nawa-i-mesh,30,3015,2,0,0,0,2,0,0
3101,Qala-e-naw,31,3101,53,0,7,0,32,0,14
3102,Ab Kamari,31,3102,21,0,5,0,10,0,6
3103,Muqur,31,3103,19,0,4,0,13,0,2
3104,Qades,31,3104,17,0,0,0,15,0,2
3105,Murghab,31,3105,0,0,0,0,0,0,0
3106,Jawand,31,3106,0,0,0,0,0,0,0
3107,Ghormach,31,3107,0,0,0,0,0,0,0
3202,Injel,32,3202,52,16,13,0,21,0,2
3203,Guzara,32,3203,91,45,21,0,23,0,2
3204,Karukh,32,3204,15,0,0,0,13,0,2
3205,Zindajan,32,3205,15,0,3,0,8,0,4
3206,Pashton Zarghon,32,3206,22,0,5,0,15,0,2
3207,Kushk,32,3207,46,19,10,0,16,0,1
3208,Gulran,32,3208,0,0,0,0,0,0,0
3209,Adraskan,32,3209,2,0,0,0,0,0,2
3210,Kushk-e-kuhna,32,3210,1,0,0,0,0,0,1
3211,Ghoryan,32,3211,14,0,0,0,12,0,2
3212,Obi,32,3212,2,0,0,0,0,0,2
3213,Kohsan,32,3213,51,42,7,0,0,0,2
3214,Shindand,32,3214,2,0,0,0,0,0,2
3215,Farsi,32,3215,4,0,4,0,0,0,0
3216,Chisht-e-sharef,32,3216,7,0,5,0,0,0,2
3219,Koh-i-zor,32,3219,0,0,0,0,0,0,0
3220,Zawol,32,3220,2,0,0,0,0,0,2
320101,Provincial Capital Of Herat (herat),32,3201,17,2,7,0,5,0,3
320102,Provincial Capital Of Herat (herat),32,3201,12,2,2,0,5,0,3
320103,Provincial Capital Of Herat (herat),32,3201,14,2,4,0,5,0,3
320104,Provincial Capital Of Herat (herat),32,3201,17,2,7,0,5,0,3
320105,Provincial Capital Of Herat (herat),32,3201,15,2,5,0,5,0,3
320106,Provincial Capital Of Herat (herat),32,3201,12,2,3,0,5,0,2
320107,Provincial Capital Of Herat (herat),32,3201,12,2,3,0,5,0,2
320108,Provincial Capital Of Herat (herat),32,3201,14,2,5,0,5,0,2
320109,Provincial Capital Of Herat (herat),32,3201,18,2,9,0,5,0,2
320110,Provincial Capital Of Herat (herat),32,3201,16,2,7,0,5,0,2
320111,Provincial Capital Of Herat (herat),32,3201,12,2,3,0,5,0,2
320112,Provincial Capital Of Herat (herat),32,3201,13,2,4,0,5,0,2
320113,Provincial Capital Of Herat (herat),32,3201,11,2,3,0,4,0,2
320114,Provincial Capital Of Herat (herat),32,3201,8,2,0,0,4,0,2
320115,Provincial Capital Of Herat (herat),32,3201,6,0,0,0,4,0,2
3301,Farah,33,3301,55,0,0,0,36,0,19
3302,Pushtrod,33,3302,2,0,0,0,0,0,2
3303,Khak-e-safed,33,3303,0,0,0,0,0,0,0
3304,Qala-ye-kah,33,3304,3,0,0,0,1,0,2
3305,Shebkoh,33,3305,1,0,0,0,0,0,1
3306,Balabulok,33,3306,0,0,0,0,0,0,0
3307,Anardara,33,3307,2,0,0,0,2,0,0
3308,Bakwa,33,3308,0,0,0,0,0,0,0
3309,Lash-e-juwayn,33,3309,1,0,0,0,0,0,1
3310,Gulistan,33,3310,1,0,0,0,1,0,0
3311,Purchaman,33,3311,0,0,0,0,0,0,0
3401,Zaranj,34,3401,40,0,0,0,24,0,16
3402,Kang,34,3402,9,0,0,0,6,0,3
3403,Chakhansor,34,3403,2,0,0,0,0,0,2
3404,Char Burjak,34,3404,3,0,0,0,0,0,3
3405,Khashrod,34,3405,0,0,0,0,0,0,0
3406,Dularam,34,3406,0,0,0,0,0,0,0
35999,Kuchi,35,,0,0,0,0,0,0,0
36999,Sikh,36,,0,0,0,0,0,0,0
